Exchange,Symbol,Shortname,Sector,Industry
NMS,AAPL,Apple Inc.,Technology,Consumer Electronics
NMS,AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail
NYQ,JPM,JP Morgan Chase & Co.,Financial Services,Banks鈥擠iversified
NMS,ADBE,Adobe Inc.,Technology,Software鈥擨nfrastructure
NYQ,T,AT&T Inc.,Communication Services,Telecom Services
NYQ,IBM,International Business Machines,Technology,Information Technology Services
NYQ,GS,"Goldman Sachs Group, Inc. (The)",Financial Services,Capital Markets
NMS,AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors
NYQ,BLK,"BlackRock, Inc.",Financial Services,Asset Management
NYQ,HCA,"HCA Healthcare, Inc.",Healthcare,Medical Care Facilities
NYQ,MO,"Altria Group, Inc.",Consumer Defensive,Tobacco
NYQ,GD,General Dynamics Corporation,Industrials,Aerospace & Defense
NMS,MU,"Micron Technology, Inc.",Technology,Semiconductors
NMS,EQIX,"Equinix, Inc.",Real Estate,REIT鈥擲pecialty
NYQ,F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers
NYQ,HSY,The Hershey Company,Consumer Defensive,Confectioners
NMS,EA,Electronic Arts Inc.,Communication Services,Electronic Gaming & Multimedia
NYQ,ABC,AmerisourceBergen Corporation,Healthcare,Medical Distribution
NYQ,GPN,Global Payments Inc.,Industrials,Specialty Business Services
NMS,AAL,"American Airlines Group, Inc.",Industrials,Airlines
